replication_id,training_months,xi_bias,sigma_relative_bias,q99_relative_error
38,12,0.0973408101677731,0.1000751423014637,0.4850041902114971
38,24,0.1284540347063735,0.0006920404442752,0.3617677586732271
38,60,0.0680551225987646,0.0963902068661748,0.2625008940224912
39,12,-0.0724473445084619,0.1820115855588905,-0.0818966561052814
39,24,-0.0886755246217097,0.1012164984442239,-0.1525330369224257
39,60,-0.0207762196026899,0.0033130965033364,-0.0308331122234475
40,12,-0.0880066393619608,0.1496146987928114,-0.1403914931439253
40,24,-0.0664327821132114,0.0825044363739289,-0.1097828444906645
40,60,-0.1115276902167446,0.1697216287650766,-0.1132448551939301
41,12,-0.0986633268146137,-0.0027626141920803,-0.2453083773713126
41,24,-0.0618271479298483,-0.1561589509612447,-0.2573308108607953
41,60,0.0205519999653578,-0.1029202308642474,-0.0067122782138614
42,12,-0.0342902627357356,0.1457973261460106,0.0067848899040812
42,24,-0.1082823096228233,0.2644722873924084,-0.1231412738998401
42,60,-0.0548819736651591,0.0135856779423129,-0.1150289837199291
43,12,-0.0163944184858747,0.1538963575603233,0.0144417963305465
43,24,-0.0482212172790949,0.0785577357030439,-0.090956379174406
43,60,-0.0391667863133221,0.0711466909031747,-0.0993177864843721
44,12,-0.0268417246326745,-0.0741384962372305,-0.1002968561171119
44,24,-0.0118932795144522,0.1555532884573374,0.1042646579309662
44,60,-0.0365407987408638,-0.0068956325867055,-0.0723312489084446
45,12,-0.1282967701634982,0.1318168830902294,-0.2150837075549557
45,24,-0.0247970084661327,-0.0443999174296534,-0.0847329143072618
45,60,-0.0248004632445405,-0.0179139385056993,-0.0659499235737805
46,12,0.1032281481999319,-0.1016393140214806,0.2575323594377438
46,24,0.0362445351226994,-0.0041899799992416,0.1223921560866088
46,60,-0.0108824438380449,0.0174271427319985,-0.0292115283273456
47,12,-0.0236520648495987,0.1584434600946114,0.0371865811693408
47,24,-0.0986619235351444,0.0401313671738532,-0.1186712354948651
47,60,-0.0264900753225872,0.0348811621443246,-0.0092440304863365
48,12,-0.0327487133497011,0.1772350529462404,0.051267048204355
48,24,0.0206567622585113,0.0794008422356394,0.1145530195736606
48,60,-0.0183583375837609,0.1061630808644102,0.0084549647285313
49,12,0.0130711738363668,-0.0562621838228294,0.0420516481693899
49,24,-0.0695709370167466,0.2169488077171501,-0.0050830708604981
49,60,-0.0440549926239668,0.0743250045826278,-0.0329854272871377
50,12,-0.0092902666023287,-0.0668397774666025,-0.0716877664513125
50,24,0.0380987382007159,-0.0837674196023384,0.0802501344978008
50,60,0.0374121221845169,0.0076544059214085,0.1383441406997324
51,12,-0.0072112619769807,0.0527898892366657,0.0122182686800245
51,24,-0.009592029974612,0.0121201812482866,0.0078180939141668
51,60,-0.0360765788462578,0.0483782400254051,-0.0703003529851526
52,12,0.0187685273832655,-0.0384792995344294,0.0429565736359085
52,24,0.0289081523785844,-0.0361876249939125,0.1263548310694753
52,60,-0.0252558444114426,-0.0294911867895361,-0.0996088303535089
53,12,-0.0562722880165096,0.0756456587896614,-0.0892942761374949
53,24,-0.0327247264923284,-0.0145954222879859,-0.0763488759428119
53,60,-0.0145455841321481,-0.0359764027040728,-0.0722096365546069
54,12,0.1443693066231556,-0.1776042270777552,0.393565962219084
54,24,0.065649963022778,-0.0820693728231192,0.1660542579120092
54,60,-0.0199958356176362,-0.0029613532855604,-0.0322408092152924
55,12,-0.1275707360633245,0.107034075765326,-0.2315816763716165
55,24,-0.0052042217696348,0.0822173296864336,0.0518440807104492
55,60,-0.0204094768338265,0.0025709420621968,-0.0251740642538449
56,12,0.1640777398296347,-0.089905259320747,0.6812610047253889
56,24,0.0854267811945786,-0.0926152408506022,0.2495991547568897
56,60,-0.0354596392146913,0.1199085208480143,-0.0208418760021562
57,12,-0.1136162516868023,-0.0625002281301976,-0.2214879255688346
57,24,-0.093000733803989,0.0919912216972733,-0.1559733716553023
57,60,-0.0844764303653478,-0.0100734604279892,-0.1766711661729663
58,12,-0.0668831387038072,-0.041782967570204,-0.1832013690861705
58,24,-0.0683452826502028,-0.0498643498189957,-0.1822329035793093
58,60,-0.0318051392758059,0.057916768517778,-0.0267428581565357
59,12,0.1792954894417786,-0.1413831021274291,0.6362407262436686
59,24,0.1737590922091938,-0.1778869444352072,0.5404937896484949
59,60,0.0458656033140566,-0.0018411525197653,0.2204942816030338
60,12,0.0399838368979441,0.12260707485438,0.2095193602065017
60,24,0.0240047736680631,-0.049465055592369,0.0407652265288417
60,60,-0.0195771936726377,0.0478954740635521,-0.0320526962209605
61,12,0.0209628486452415,-0.0634206613217651,0.02812097663117
61,24,0.0657569811419679,-0.054915651462977,0.1794136469761668
61,60,-0.0167482256707434,0.0425477215835794,-0.0099519372146856
62,12,0.0548632147023575,-0.0548757451844505,0.1687429263378946
62,24,0.0224055771113174,-0.0622454222586098,0.006757682421526
62,60,0.0194461363865342,-0.0478732823588879,0.0784328146165514
63,12,0.0253156925559405,0.0488403440195219,0.1518820432430026
63,24,-0.0833450520015261,0.2543137020539822,-0.0682302214992601
63,60,0.0393780538472495,-0.0510614047325824,0.0589153274411929
64,12,0.0405818611670554,-0.2743336487478344,-0.1068286183694534
64,24,0.0336008672548039,-0.0855885564850548,0.0571420511512244
64,60,-0.0160453506961886,-0.0399711577188437,-0.0522177318996452
65,12,-0.0357981203377991,-0.0120778245359516,-0.1113355868552405
65,24,-0.0811897060656453,0.1389179300625858,-0.1207916456094701
65,60,-0.0464886097919516,0.1043202051061081,-0.027621898510608
66,12,0.028625288039614,0.0455630447997596,0.1258835476076723
66,24,-0.0589821093662515,0.087669901259244,-0.0651215397840924
66,60,-0.0203360106394727,-0.0529793613316259,-0.093518621509507
67,12,-0.0767366923145714,0.0591972523671989,-0.127893792465811
67,24,0.071963437015847,-0.0211415355433834,0.1736678165107219
67,60,-0.0176604897116292,0.0330718084825927,-0.0402516010535239
